High,Low,Open,Close,Volume,Adj Close,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
99.55999755859375,98.33999633789062,98.56999969482422,99.18000030517578,506300.0,94.8961181640625,0.0,2019-01-02,00,2019,2,Wednesday,-0.10499999999999998,3.594650330699775
96.83000183105469,95.44999694824219,96.7300033569336,95.45999908447266,807800.0,91.33679962158203,-3.751,2019-01-03,00,2019,3,Thursday,-0.10499999999999998,3.594650330699775
99.19999694824219,96.91000366210938,97.33999633789062,98.73999786376953,1038100.0,94.47512817382812,3.436,2019-01-04,00,2019,4,Friday,-0.10499999999999998,3.594650330699775
100.19000244140625,98.76000213623047,99.44000244140625,99.70999908447266,861600.0,95.40322875976562,0.982,2019-01-07,01,2019,7,Monday,0.6532,1.153408730676164
101.4800033569336,100.43000030517578,101.37000274658203,101.2699966430664,548600.0,96.89584350585938,1.565,2019-01-08,01,2019,8,Tuesday,0.6532,1.153408730676164
103.16999816894531,102.29000091552734,102.77999877929688,102.6500015258789,516400.0,98.21623992919922,1.363,2019-01-09,01,2019,9,Wednesday,0.6532,1.153408730676164
103.41000366210938,102.08000183105469,102.55000305175781,103.33999633789062,663800.0,98.87643432617188,0.672,2019-01-10,01,2019,10,Thursday,0.6532,1.153408730676164
102.44000244140625,101.58000183105469,102.19999694824219,101.9800033569336,576900.0,97.57518768310547,-1.316,2019-01-11,01,2019,11,Friday,0.6532,1.153408730676164
101.52999877929688,100.6500015258789,100.6500015258789,101.11000061035156,629000.0,96.74275970458984,-0.853,2019-01-14,02,2019,14,Monday,0.7326,1.1988018184837725
102.5,100.8499984741211,100.8499984741211,102.43000030517578,443100.0,98.00574493408203,1.306,2019-01-15,02,2019,15,Tuesday,0.7326,1.1988018184837725
102.58999633789062,101.70999908447266,101.7300033569336,102.25,442500.0,97.83351135253906,-0.176,2019-01-16,02,2019,16,Wednesday,0.7326,1.1988018184837725
103.93000030517578,102.30000305175781,102.37000274658203,103.62999725341797,338000.0,99.15390014648438,1.35,2019-01-17,02,2019,17,Thursday,0.7326,1.1988018184837725
106.12999725341797,104.62000274658203,105.23999786376953,105.73999786376953,484400.0,101.17277526855469,2.036,2019-01-18,02,2019,18,Friday,0.7326,1.1988018184837725
103.83000183105469,102.88999938964844,103.51000213623047,103.33000183105469,680400.0,98.86687469482422,-2.279,2019-01-22,03,2019,22,Tuesday,0.07350000000000007,1.5939990589708641
104.98999786376953,103.66000366210938,104.7699966430664,104.0999984741211,539100.0,99.60360717773438,0.745,2019-01-23,03,2019,23,Wednesday,0.07350000000000007,1.5939990589708641
105.61000061035156,104.72000122070312,105.55999755859375,105.4000015258789,1999100.0,100.84746551513672,1.249,2019-01-24,03,2019,24,Thursday,0.07350000000000007,1.5939990589708641
106.54000091552734,105.58999633789062,106.5,106.01000213623047,1036500.0,101.43111419677734,0.579,2019-01-25,03,2019,25,Friday,0.07350000000000007,1.5939990589708641
108.30999755859375,105.4000015258789,105.9000015258789,106.94000244140625,2299600.0,102.32093811035156,0.877,2019-01-28,04,2019,28,Monday,-0.37460000000000004,2.056742764664556
103.88999938964844,102.1500015258789,103.37000274658203,102.69000244140625,2048500.0,98.25452423095703,-3.974,2019-01-29,04,2019,29,Tuesday,-0.37460000000000004,2.056742764664556
103.1500015258789,100.97000122070312,101.95999908447266,102.5199966430664,1275500.0,98.09185028076172,-0.166,2019-01-30,04,2019,30,Wednesday,-0.37460000000000004,2.056742764664556
103.75,102.30999755859375,102.47000122070312,103.41999816894531,1027200.0,98.9529800415039,0.878,2019-01-31,04,2019,31,Thursday,-0.37460000000000004,2.056742764664556
104.55999755859375,103.4800033569336,103.81999969482422,103.94999694824219,566200.0,99.46009063720703,0.512,2019-02-01,04,2019,1,Friday,-0.37460000000000004,2.056742764664556
104.29000091552734,102.93000030517578,103.19000244140625,104.20999908447266,564900.0,99.70885467529297,0.25,2019-02-04,05,2019,4,Monday,0.023600000000000086,1.4241038585721197
106.37999725341797,105.5999984741211,105.83999633789062,106.2699966430664,709500.0,101.67987823486328,1.977,2019-02-05,05,2019,5,Tuesday,0.023600000000000086,1.4241038585721197
106.16999816894531,105.22000122070312,106.08000183105469,105.2699966430664,349900.0,100.72306823730469,-0.941,2019-02-06,05,2019,6,Wednesday,0.023600000000000086,1.4241038585721197
104.19000244140625,102.9000015258789,103.88999938964844,103.45999908447266,659600.0,98.99124908447266,-1.719,2019-02-07,05,2019,7,Thursday,0.023600000000000086,1.4241038585721197
