Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,76.74,77.18,75.89,77.14,1075400.0,70.56,0.0,70.56,70.56
2016-01-05,2016,1,5,Tuesday,01,2016-01,76.33,77.1,76.16,76.97,1392000.0,70.4,-0.0022037523151509086,70.48,70.48
2016-01-06,2016,1,6,Wednesday,01,2016-01,76.81,77.79,76.66,77.65,1031600.0,71.03,0.00883458662912262,70.66333333333334,70.66333333333334
2016-01-07,2016,1,7,Thursday,01,2016-01,76.9,77.97,76.68,77.21,1670200.0,70.62,-0.005666278638473243,70.6525,70.6525
2016-01-08,2016,1,8,Friday,01,2016-01,78.27,78.35,76.76,76.9,1186800.0,70.34,-0.00401514101498901,70.59,70.59
2016-01-11,2016,1,11,Monday,02,2016-02,78.13,78.72,77.74,78.56,1519700.0,71.86,0.02158642553254264,70.80166666666668,70.80166666666668
2016-01-12,2016,1,12,Tuesday,02,2016-02,80.96,80.99,79.9,80.36,3382600.0,73.5,0.022912523473596513,71.18714285714286,71.18714285714286
2016-01-13,2016,1,13,Wednesday,02,2016-02,80.39,80.6,77.97,78.43,2530400.0,71.74,-0.024017049802145696,71.25625000000001,71.25625000000001
2016-01-14,2016,1,14,Thursday,02,2016-02,79.41,80.27,78.93,79.72,1988800.0,72.92,0.01644777317816959,71.44111111111111,71.44111111111111
2016-01-15,2016,1,15,Friday,02,2016-02,77.24,77.77,76.65,76.9,1583100.0,70.34,-0.03537371648398724,71.331,71.331
2016-01-19,2016,1,19,Tuesday,03,2016-03,78.79,79.07,77.77,78.34,1658900.0,71.66,0.018725654978163808,71.36090909090909,71.36090909090909
2016-01-20,2016,1,20,Wednesday,03,2016-03,77.67,78.0,76.06,77.47,2242400.0,70.86,-0.011105508344915638,71.31916666666667,71.31916666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,77.43,78.31,76.63,77.99,2028200.0,71.34,0.006712295301802396,71.32076923076923,71.32076923076923
2016-01-22,2016,1,22,Friday,03,2016-03,77.69,78.4,77.5,78.27,2273300.0,71.59,0.003590181368916978,71.34,71.34
2016-01-25,2016,1,25,Monday,04,2016-04,78.55,79.33,78.19,78.31,1356300.0,71.63,0.0005109874013631277,71.41642857142858,71.35933333333334
2016-01-26,2016,1,26,Tuesday,04,2016-04,77.96,78.98,77.88,78.94,867300.0,72.21,0.008045086225958675,71.5457142857143,71.41250000000001
2016-01-27,2016,1,27,Wednesday,04,2016-04,79.04,80.1,78.64,78.89,992100.0,72.16,-0.0006334450535284697,71.62642857142859,71.4564705882353
2016-01-28,2016,1,28,Thursday,04,2016-04,78.82,78.91,77.44,77.7,1581800.0,71.07,-0.015084279389413813,71.65857142857143,71.435
2016-01-29,2016,1,29,Friday,04,2016-04,78.22,79.83,78.15,79.8,1339400.0,72.99,0.027027125671572172,71.84785714285714,71.51684210526317
2016-02-01,2016,2,1,Monday,05,2016-05,78.67,79.97,78.55,79.7,1213300.0,72.9,-0.0012532368316584552,71.92214285714286,71.58600000000001
2016-02-02,2016,2,2,Tuesday,05,2016-05,78.47,78.54,77.58,77.71,1300400.0,71.08,-0.024968614066675054,71.74928571428572,71.56190476190477
2016-02-03,2016,2,3,Wednesday,05,2016-05,78.61,79.33,77.43,79.07,1274600.0,72.32,0.01750102370432316,71.79071428571429,71.59636363636365
2016-02-04,2016,2,4,Thursday,05,2016-05,77.79,78.67,77.54,78.23,1283400.0,71.56,-0.010623536215152662,71.69357142857142,71.59478260869565
2016-02-05,2016,2,5,Friday,05,2016-05,77.39,77.42,74.93,75.4,1756200.0,68.97,-0.03617539954694515,71.59571428571427,71.48541666666667
2016-02-08,2016,2,8,Monday,06,2016-06,73.76,74.37,73.29,74.31,2167700.0,67.97,-0.014456217561870655,71.33214285714284,71.3448
2016-02-09,2016,2,9,Tuesday,06,2016-06,73.48,75.59,73.42,74.88,2887200.0,68.49,0.007670532894213267,71.16285714285712,71.235
2016-02-10,2016,2,10,Wednesday,06,2016-06,75.57,75.99,74.86,74.95,1645000.0,68.56,0.0009347953508858087,70.9642857142857,71.13592592592593
2016-02-11,2016,2,11,Thursday,06,2016-06,74.58,74.8,73.69,74.29,1253500.0,67.95,-0.008805823615548047,70.70428571428569,71.02214285714287
2016-02-12,2016,2,12,Friday,06,2016-06,73.36,73.7,72.66,73.68,1514000.0,67.39,-0.008211073300330995,70.40142857142854,70.89689655172414
2016-02-16,2016,2,16,Tuesday,07,2016-07,74.95,76.04,74.46,75.74,1720700.0,69.28,0.027958686355054274,70.19214285714283,70.84300000000002
