,Return
0,-0.003716811082942195
1,-0.037507525190091484
2,0.03435995748973597
3,0.009823755774428287
4,0.015645327369918416
5,0.013626966602132915
6,0.006721845566971085
7,-0.013160331396800506
8,-0.008531144016028945
9,0.013055087877881457
10,-0.0017573825050645198
11,0.0134962833868586
12,0.02036102583042876
13,-0.02279171019683557
14,0.00745176263722569
15,0.012488085247583271
16,0.005787440256027177
17,0.008772691896570928
18,-0.03974175720524542
19,-0.0016556382667217706
20,0.00877881045446105
21,0.005124763251095788
22,0.0025011442930746863
23,0.01976778858797501
24,-0.0094100230465316
25,-0.01719386812911461
26,0.005509449300927782
27,0.0005766312501791492
28,0.00518791612280345
29,0.0060212417404070795
30,0.0064601774403079135
31,0.00830656329971391
32,-0.0007489347293642147
33,0.0011242067279391144
34,0.0011230935447901214
35,0.012525614120241224
36,-0.009139549501979372
37,0.002236053657264092
38,-0.0052058427540315755
39,0.0011213701147301247
40,0.011668046991944124
41,-0.00978045765443536
42,0.006056660989700147
43,-0.003519420101778525
44,-0.011525222694436676
45,0.0152326323406351
46,-0.002315409905171761
47,0.0026921591613910945
48,0.007869714150720464
49,0.006062759115746941
50,0.027118370116571144
51,-0.003111407881231432
52,0.011592666600585666
53,0.00960863397949474
54,-0.000873199000952285
55,-0.02368261809011052
56,-0.0010740943836975436
57,0.020878156227171814
58,-0.003247683323195472
59,0.005723854042529508
60,0.0109448029744863
61,0.003117975396116135
62,-8.633356826071026e-05
63,0.005353556503072897
64,-0.004122642537367716
65,-0.011556690708434458
66,0.0027920499870941477
67,-0.03967629936529382
68,0.017214811413359232
69,0.0005344517544185745
70,-8.901588046150709e-05
71,0.004273568590924981
72,-0.01418453904401129
73,0.009982030967486066
74,0.005876662644618946
75,0.007258514599153055
76,0.008876019736696827
77,0.1243902086650832
78,-0.00023239435184119195
79,-0.01216578672620938
80,0.012315615882437124
81,-0.0014722965967074453
82,-0.007760384312007873
83,-0.014703461178671606
84,0.011271561968526413
85,-0.007692345245558173
86,-0.02333483386230295
87,0.006722228217484583
88,0.0005631701598205474
89,0.011095946110735166
90,-0.0199602609574846
91,0.01590387538397087
92,0.007747585439471516
93,0.03724476485452621
